old,new,isSyntactic,Hamming,Reversed Hamming,Levenshtein,OSA,Jaro,Jaro-Winkler,LCS,Jaccard,NGram,Cosine,Sørensen–Dice
Clicar na opcao 'Compatibilidade' no menu da tela principal,clica na opcao 'Compatibilidade' no menu da tela principal,1,0.9322033898305084,0.1016949152542373,0.03389830508474576,0.03389830508474576,0.034590421114153,0.034590421114153,0.03389830508474578,0.0,0.0692090395480226,0.007023038084113198,0.05882352941176472
clica no botao Voltar,clica no botao 'Voltar',1,0.34782608695652173,1.0,0.08695652173913043,0.08695652173913043,0.02898550724637683,0.010081915563957211,0.08695652173913049,0.09090909090909094,0.13043478260869565,0.04446691409409087,0.11764705882352944
clica no botao Cancelar,clica no botao 'Cancelar',1,0.4,1.0,0.08,0.08,0.026666666666666727,0.010666666666666713,0.07999999999999996,0.08333333333333337,0.12,0.03923107716947705,0.10526315789473684
preenche dados obrigatorios e clica em Atualizar,preenche dados obrigatorios e clica em 'Atualizar',1,0.22,0.96,0.04,0.04,0.013333333333333308,0.0029333333333333433,0.040000000000000036,0.050000000000000044,0.06,0.014815633856221977,0.05128205128205132
preenche um Tipo de Mercadoria valido e clica em Atualizar,preenche um Tipo de Mercadoria valido e clica em 'Atualizar',1,0.18333333333333332,0.9833333333333333,0.03333333333333333,0.03333333333333333,0.011111111111111072,0.0020370370370370594,0.033333333333333326,0.050000000000000044,0.05,0.010416950731792496,0.045454545454545414
preenche um NCM valido e clica em Atualizar,preenche um NCM valido e clica em 'Atualizar',1,0.24444444444444444,0.9777777777777777,0.044444444444444446,0.044444444444444446,0.014814814814814725,0.0036213991769546983,0.0444444444444444,0.04761904761904767,0.06666666666666667,0.021054989627438903,0.06060606060606055
clica no opcao 'E-commerces' no menu principal,clica no opcao 'Ecommerces' no menu principal,1,0.6086956521739131,0.391304347826087,0.021739130434782608,0.021739130434782608,0.007246376811594235,0.0045683679899181096,0.021739130434782594,0.06666666666666665,0.043478260869565216,0.0036297760428577464,0.04347826086956519
exibe a tela com a lista de E-commerces cadastrados no sistema,exibe a tela com a lista de Ecommerces cadastrados no sistema,1,0.5161290322580645,0.4838709677419355,0.016129032258064516,0.016129032258064516,0.005376344086021501,0.00286160249739853,0.016129032258064502,0.0625,0.03225806451612903,0.0020512842113266094,0.03703703703703709
clica em um dos E-commerces listados,clica em um dos Ecommerces listados,1,0.5,0.5,0.027777777777777776,0.027777777777777776,0.00925925925925919,0.004886831275720094,0.02777777777777779,0.0714285714285714,0.05555555555555555,0.005763736767544381,0.05660377358490565
exibe tela com informacões de E-commerce,exibe tela com informacões de Ecommerce,1,0.2,0.8,0.025,0.025,0.008333333333333304,0.00187499999999996,0.025000000000000022,0.05555555555555558,0.05,0.004434611651310982,0.049180327868852514
clica no botao Voltar,clica no botao 'Voltar',1,0.34782608695652173,1.0,0.08695652173913043,0.08695652173913043,0.02898550724637683,0.010081915563957211,0.08695652173913049,0.09090909090909094,0.13043478260869565,0.04446691409409087,0.11764705882352944
clica no botao Cancelar de registro de operador,clica no botao 'Cancelar' de registro de operador,1,0.6938775510204082,0.5102040816326531,0.04081632653061224,0.04081632653061224,0.013605442176870763,0.009440510898236831,0.04081632653061229,0.0625,0.08163265306122448,0.013072457560346584,0.08108108108108103
informa que o campo é obrigatorio,informa que o campo e obrigatorio,1,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.02020202020202022,0.007958371594735225,0.030303030303030276,0.0625,0.030303030303030304,0.012579117093425185,0.061224489795918324
Clicar na opcao 'Compatibildiade' no menu da tela principal,clica na opcao 'Compatibilidades' no menu da tela principal,1,0.4576271186440678,0.4576271186440678,0.0847457627118644,0.0847457627118644,0.045990682921994264,0.045990682921994264,0.05084745762711862,0.05882352941176472,0.1370056497175141,0.009334978268518812,0.13636363636363635
exibe a tela de listagem das Compatibilidades,apresenta uma listagem dos Compatibilidades cadastrados no sistema,1,0.9545454545454546,0.9242424242424242,0.5454545454545454,0.5454545454545454,0.3225589225589225,0.31849388190851613,0.48484848484848486,0.2777777777777778,0.5833333333333334,0.10093758244767115,0.33333333333333337
clica em Compatibilidade listada,clica em algum dos Compatibilidades listados,1,0.75,0.9318181818181818,0.29545454545454547,0.29545454545454547,0.20028409090909083,0.1551738980716253,0.2954545454545454,0.1333333333333333,0.3125,0.06248257598349449,0.22807017543859653
exibe a tela de edicao de Compatibilidade,abre a tela de edicao de Compatibilidade,1,1.0,0.0975609756097561,0.0975609756097561,0.0975609756097561,0.20333761232349168,0.19895164741121096,0.07317073170731703,0.1428571428571429,0.13414634146341464,0.01715695931928496,0.10344827586206895
clica em botao 'Deletar',clica no botao de 'Excluir',1,0.5185185185185185,0.7407407407407407,0.4074074074074074,0.4074074074074074,0.22222222222222232,0.16563786008230463,0.37037037037037035,0.4117647058823529,0.4166666666666667,0.18604651162790686,0.55
abre popup de confirmacao de delecao,exibe popup pedindo Confirmacao de delecao,1,0.9761904761904762,0.4523809523809524,0.2619047619047619,0.2619047619047619,0.2507215007215008,0.2507215007215008,0.23809523809523814,0.125,0.30952380952380953,0.053175087987509806,0.29824561403508776
confirma que deseja deletar clicando em 'Sim',confirma delecao,1,0.8,1.0,0.6444444444444445,0.6444444444444445,0.2773148148148148,0.22185185185185186,0.6444444444444444,0.38888888888888884,0.6722222222222223,0.10557280900008403,0.52
notifica usuario que os nova Compatibilidade foi deletada com sucesso,notifica que o Compatibilidade foi excluido com sucesso,1,0.8405797101449275,0.4927536231884058,0.30434782608695654,0.30434782608695654,0.2120574075455126,0.18166326387605414,0.2753623188405797,0.15000000000000002,0.32608695652173914,0.04356782193527253,0.28421052631578947
lista o conjunto de ecommerce cadastrados no sistema,apresenta uma listagem dos Ecommerces cadastrados no sistema,1,0.9833333333333333,0.5666666666666667,0.35,0.35,0.27094017094017087,0.2673940716493908,0.33333333333333337,0.23529411764705888,0.42083333333333334,0.06142144660374382,0.33333333333333337
clica em um dos ecommerce listados,clica em algum dos Ecommerces listados,1,0.7105263157894737,0.7368421052631579,0.13157894736842105,0.13157894736842105,0.13952215655002043,0.10262310246015638,0.13157894736842102,0.1428571428571429,0.18421052631578946,0.030858162833847347,0.2222222222222222
apresenta tela de edicao de Ecommerce,abre a tela de edicao de Ecommerce,1,0.8108108108108109,0.21621621621621623,0.13513513513513514,0.13513513513513514,0.12715288818229986,0.12371632363683227,0.1351351351351351,0.2666666666666667,0.15765765765765766,0.023228105782453823,0.1785714285714286
clica em botao de 'Remover' na tela de edicao,clica no botao de 'Excluir',1,0.5777777777777777,0.9777777777777777,0.5777777777777777,0.5777777777777777,0.2775630703166936,0.2342744677044194,0.5777777777777777,0.33333333333333337,0.5611111111111111,0.23304842209325516,0.5384615384615384
exibe popup de confirmacao,exibe popup pedindo Confirmacao de delecao,1,0.6904761904761905,0.9285714285714286,0.42857142857142855,0.42857142857142855,0.1782661782661782,0.12733298447584152,0.4285714285714286,0.125,0.44047619047619047,0.055129977178445366,0.2592592592592593
confirma delecao de Ecommerce,confirma delecao,1,0.4482758620689655,0.9310344827586207,0.4482758620689655,0.4482758620689655,0.14942528735632177,0.06698374950455799,0.4482758620689655,0.08333333333333337,0.4482758620689655,0.06718849719186726,0.2432432432432432
noficica usuario de que Ecommerce foi deletado com sucesso.,notifica que o Ecommerce foi excluido com sucesso,1,0.7966101694915254,0.9491525423728814,0.3389830508474576,0.3389830508474576,0.223246023977568,0.21567836214781988,0.30508474576271183,0.11111111111111116,0.3700564971751412,0.033267167104436335,0.36585365853658536
lista o conjunto de termianis cadastrados no sistema,apresenta uma listagem dos Terminais cadastrados no sistema,1,0.9661016949152542,0.4915254237288136,0.3728813559322034,0.3728813559322034,0.25321221397124116,0.24958902556544416,0.3389830508474576,0.23529411764705888,0.4279661016949153,0.06122207624618714,0.4025974025974026
clica em um dos terminais listados,clica em algum dos Terminais listados,1,0.7297297297297297,0.2972972972972973,0.10810810810810811,0.10810810810810811,0.14179955356425944,0.10348576644284124,0.10810810810810811,0.1333333333333333,0.13513513513513514,0.028140938500275103,0.16000000000000003
apresenta tela de edicao de Terminal,abre a tela de edicao de Terminal,1,0.8055555555555556,0.2222222222222222,0.1388888888888889,0.1388888888888889,0.0987563810144455,0.09601314820848872,0.13888888888888884,0.19999999999999996,0.16203703703703703,0.025317921521163966,0.18518518518518523
clica em botao de 'Remover' na tela de edicao|clica no botao de 'Excluir' do Terminal,,1,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0
exibe popup de confirmacao,exibe popup pedindo Confirmacao de delecao,1,0.6904761904761905,0.9285714285714286,0.42857142857142855,0.42857142857142855,0.1782661782661782,0.12733298447584152,0.4285714285714286,0.125,0.44047619047619047,0.055129977178445366,0.2592592592592593
