base,delta,isSyntactic,Levenshtein
Redireciona para tela de selecao de plano de teste,,0,1.0
Seleciona um plano de teste,,0,1.0
,Pressiona no icone de camera fotografica,0,1.0
,Redireciona para tela de captura de foto,0,1.0
,Tire foto da maquina e pressiona botao voltar,0,1.0
,Valida numero do produto,0,1.0
,Insere o numero de serie,0,1.0
,Valida numero de serie,0,1.0
,Pressiona botao iniciar,0,1.0
Usuario Identificou a maquina,,0,1.0
,Exibe mensagem indicando que nao pode se comunicar com o servidor.,0,1.0
,Usuario esta logado no sistema,0,1.0
,Pressiona o botao para habilitar/desabilitar exibicao de senha,0,1.0
,Habilita/Desabilita exibicao de senha,0,1.0
,Insere usuario e senha e pressiona o botao de login.,0,1.0
Usuario selecionou o sintoma da maquina,,0,1.0
Pressiona no botão Executar,Mostra uma caixa de mensagem indicando que os testes estao sendo executados junto com uma barra de carregamento,0,0.8288288288288288
Digite o ocorrido nos testes na caixa de nota e pressione em okou cancelar caso nao tenha nada a descrever.,Exibe a tela do resultado detalhado dos testes da maquina indicando a situacao dos testes executados.,0,0.7570093457943925
Usuario Executou os testes,Resultado e enviado ao servidor,0,0.7419354838709677
Pressione em sim,Pressione no botao de rejeicao de resultados,0,0.7045454545454546
Mostra a tela pedindo a descricao do usuario para dizer qual o resultado dos testes.,Exibe a tela para insercao nota de texto.,0,0.6666666666666666
Pressiona no botao ICT220 3 testes,Seleciona um plano de teste,0,0.5882352941176471
Insere o numero do produto e do serial e pressione em iniciar,Insere o numero do produto,0,0.5737704918032787
Tire foto da maquina,Tire foto da maquina e pressiona botao voltar,0,0.5555555555555556
Pressiona no botao Executar,Conecta terminal ao celular e pressiona no botao Executar,0,0.543859649122807
Redireciona para a tela demonstrando os testes possiveis: Display/Display Backlight e Buzzer,Redireciona para a tela exibindo os testes inclusos no plano de teste selecionado,0,0.5
Redireciona para a tela de descricao de nota de testes com a descricao padrao selecionada.,Redireciona para a tela de descrição de nota de testes,0,0.4222222222222222
Pressione no botao de enviar,Pressione no botao de aprovacao de terminal,0,0.4186046511627907
Exibe a tela para insercao nota de texto.,Exibe a tela para selecionar nota de texto pre-definida.,0,0.375
